,Question,Answer
9065, C and   ,We have Italians  
9066,You cant throw any of that away  , Yeah  
9067,I dont know if maybe Im biting off more than I can chew , D well  not so much that  
9068,Uhhuh ,I guess I keep that one part of me thats like  
9069,I used to go down to Reunion Arena F uh   ,C But   as  as    
9070,Uhhuh ,F Uh  we have no basement laughter  
9071,during every commercial get up off the couch,that all of a sudden really hit home that theres no longer landfill space
9072,C and  have  ,its a guy 
9073,C and  her name is Thumper  ,have a nice summer 
9074,Yeah  ,All the other areas which  would    I think at that time would  have included West Virginia and F oh   may have been Kentucky a few states D you know   that were not part of the South but still had slaves 
9075, Im   F uh  I grew up  in Nebraska  ,C Plus  by the time you get a babysitter  and then pay to go to the movies 
9076,uhhuh  ,if people stopped thinking like that 
9077,Thats changing laughter ,Uhhuh 
9078,We have F um   ,C So  E I mean  this is definitely a college town  
9079,C And  F uh  I have a preschooler  ,Thats true 
9080,C And   , and have all sorts of weather  
9081,Okay  ,Throatclearing
9082,Yeah ,C And   her  her  mother went over there just for that  
9083,Oh yeah ,C And   F uh  usually I cut those little  cherry tomatoes up
9084, C or   C or   D you know   sho  should  we F uh   ,C But  it should be if its not 
9085,Right ,Uhhuh  
9086,a tooth for a tooth a life for a life  ,F Uh  
9087,Ye ,I know  
9088,Yeah   ,C and  everyone was out  
9089,I dont know if youre like me  ,no 
9090,Laughter Yeah  ,C And  the people that he got the       from used to have cats  
9091,Uhhuh ,Uhhuh 
9092, C so   ,C and  uhhuh  
9093,Yeah  ,That way husbands are crippled 
9094, C but  it was a preponderance of them that caused our problem   ,Everybody pays ten percent or fifteen or  whatever 
9095, C and   her  the rest of her   family and her regular doctors and everybody she trusted and knew was in Dayton and were several thousand miles away  ,Yeah  
9096,That what Ive been reading lately a lot of  ,I dont know what type of pressure they can put on all the nations there too because now that the war is over societies have just about gone back to their own
9097,but its been cold  ,C and  so  I wind up  going out camping with F uh  a bunch of boys at one time  
9098,Johnson City  ,then picked it up again later on  
9099,It is a difficult thing  ,I  dont  dont  like that super cold stuff 
9100,C And   F uh   I dont know  that   what they have  ,yeah  
9101, We  we  waited almost breathing fortyfive minutes before everything was brought out  ,Oh 
9102,Weve transferred around  ,they do 
9103,How are you  ,C and  it was difficult to hold them together   
9104, Laughter  , that  television  it gives you everything 
9105,I see ,C but 
9106,C But  F uh  ,E I mean  just because you did something in the past doesnt mean hes not a good enough person to be a politician 
9107,C and  theyre even open on Saturdays ,Yeah 
9108,Right ,C But    I  I  dont know  
9109,C and  Im  know real sure there are F um  ,yeah 
9110,Yeah ,C and  F uh  noise  it was quite a drag noise because F um  noise we got them in our  house  
9111,C But   F uh   the   F uh  F uh  D now  the  only thing people seem to  agree on is that education is F uh  an economic enterprise to train people for jobs  ,I dont know  
9112,D Well  its been nice talking with you ,C and  thats been real good 
9113,Yeah  ,F Uh  generally F uh  I think its been as  high as about a hundred and twenty people 
9114,just besides the fact that you know your when your child gets out of school at three oclock and then has to wait ,Sure 
9115,Yeah ,Sometimes its to  sup   help support  college D you know 
9116,Uhhuh ,C so  F uh  
9117,there are two people who say well he just looks guilty F um  , Uhhuh  
9118,Thats why it really surprises me D you  know  that he hasnt come back because breathing like I said hes never gone away like this before  ,C and   it  
9119, that  we havent seen for a while laughter  ,could come to their house 
9120,Yeah  ,   Have you ever  have   have  you been downtown recent 
9121,Yeah  ,Yeah 
9122,Uhhuh , thats pretty har  thats pretty high   
9123, Wh  , Laughter  
9124,uhuh ,Because your normal companies that offer it do not offer it in the amounts that we do  
9125,C and  F uh  I wish I had more time to do it  ,Right  
9126,theyll rob one house  ,C So  I was  reading an article in the F uh  National Geographic  
9127,F Um  ,C so  F uh  I bar  
9128, D W   D well    thats kind  of good to know  ,but yet close enough if I ever wanted to go home I could 
9129, blue  cast to it ,that were D you know   dead  smack dead  in the center of  
9130,Ive just been singing every chance I get  ,theyre not cutting in any other corner  
9131,We have D you know  used some of it for some  personal things  ,A lot of people  dont feel that way either  
9132,There you go ,D Well   we probably  have we  talked long enough  
9133,Throatclearing  Really  ,me alone  
9134,C and  one thing I thought was interesting was that the driver had something on his belt that he F uh   scanned across the little bar code ,the reason why we got that is we had had a Nova  
9135,F um  I think  the big   the biggest   problem Ive got  is   is  forcing it on someone after theyve already agreed to the terms of employment ,they cant keep force feeding things to each other   and 
9136,Uhhuh , out of my  payroll 
9137,yeah ,SILENCE OF THE LAMBS kept me on the edge of my seat 
9138, and all that good kind of stuff ,C but  as long as I was single and foot loose so to speak its easier  
9139,Fortunately I dont have to work in those companies laughter , C but  its pretty varied 
9140,Uhhuh ,C and  U S policy at that particular time there was of course military assistance  to  F uh  to  the government itself D you know   
9141,C but  she made arrangements so that when  she was gone,Yeah  
9142, not able to  ,    I   I     I    I think     I think  theres a lot to be said for kids working 
9143, Immediately  ,C And then  one her last sister died  
9144,I wonder if a judge didnt have control of that if some of that would change D you know  ,I have two sons still living down there 
9145,C But  F uh ,Laughter C But  basically we  tried  D you know  included  all the basic F uh  foods that you are supposed to have in a meal       
9146,Right  ,Uhhuh 
9147,I wish we had had computers in the very beginning  ,I can do it much  cheaper and better  
9148, even  suburban no matter where you are  ,Yeah  
9149, Tha  ,C and  she said that she didnt want to know what was going on because if she had a son over in Saudi Arabia she wouldnt want to know D you know  that theyre bombing  or  or  this and thats going on  
9150,C But   F uh  its the sort of thing where you let a portion of it go bad  ,D Well  
9151,Really ,what I dont know is where do we draw the line 
9152,Well thats thats what I was about to say  ,C but  I didnt get elected on the panel  
9153,It wont be a Ford  ,at the time it was still F oh  about forty or fifty cents a pound  
9154, she  she  felt fine for the first year when she had her first set of inmates  ,I think my wife has some 
9155,D You know  she likes to cook  ,Laurie 
9156,Its very generous  ,Uhhuh 
9157,yeah  ,Uhhuh 
9158, F um  just because its sheer magic ,Breathing D Well  Im trying to get my tolerance now  
9159,Im a graduate student  , as D you know   in  in  the Minnesota area  
9160,F Uh  theyre just  very very tough  ,Yeah  
9161,F Oh  thats  a  an  ambulance or something going on here I think ,thats cute 
9162,We have a vacation fund  ,D Well  that sounds nice 
9163,Thats pathetic ,Right laughter 
9164,F Oh  uhhuh  ,theres a separate country  
9165,C and  that is so fun  ,She was making D like   A I dont know what she was making   fortyfive dollars a month I think  
9166,E I mean  thats occurred certainly at times in  the past  ,Maybe  
9167,Uhhuh ,F Oh  D well  then you are familiar with it 
9168,When he sees it to his advantage ,Thats right  
9169, Yeah  ,Uhhuh 
9170,our meals  are D well   ,Thats true 
9171,C and  all of a sudden we had a bad F uh  frequency there or something  ,All right 
9172,It  ,I do to  
9173,That is an army  ,C and  I always have to either take it out or have my picture slightly off centered  
9174,In that it seems to me that they are swayed more by  emotion than F uh  by evidence thats presented  ,C And  I got a feeling that some of that was involved in the F uh  early decisions of the Vietnam war That the F uh  throatclearing people saw the cold war as F uh  you had to draw a line  and   and  defend it  
9175,F Oh  yeah ,C but  as long as my oldest aunt lived we we got together once a year 
9176,I think theyre maybe going to give us a state income tax  ,C And   
9177,Uhhuh ,well try that one 
9178,Uhhuh  , hes   been doing this evidently for  a  a  good number of years 
9179,Yeah  ,Uhhuh 
9180,Yeah  ,Ive seen it in magazines and stuff where you dress your animals up and take them to a par 
9181,theres a mild attempt for that  , F Uh   
9182, What year  E I mean  how old  are they ,C so  F um  the last couple of years I really have tried not to use them at all 
