Question,Answer
Thats how kind of I am too  , C and then  I forget to take that laughter out of my  checking account 
C and  if you do that when do you do it  ,Uhhuh 
 Its   its  staggering when you  think that just here in central New York is F uh   ,elicited their aid for a while  
Yeah  ,Uhhuh 
theyll be  ,what I meant not in quality  
 the bonding process  ,C and  my husband even was kind of woozy after that because Im sure he breathed it laughter  
My F uh  D you know  ,Right 
Yeah  ,C And  everybody in my family has always had  
like  when youre in a bad part of Italy or something , I know  
We live in a college town  ,Okay  
byebye ,Oh 
Yeah ,Throatclearing Uhhuh 
thats right  ,C and  they get dirty  
C So   that  that  has a lot to do with it ,I didnt piece it or  anything like that  
 C But   C but    F uh    I  I   had  I had   taken this in to have it done originally ,C But  Ive done freelance  writing in the past 
Uhhuh  ,Im sorry  
Its a farm community  ,Uhhuh 
in Texas F uh  does  ,C and  she says D Well  those are going to die just the first frost 
F Uh  yeah  , Right   
Yeah  ,F um  we have one dog a Bichon Frise  
C But    I  I   Im  in the active reserves as a weatherman  ,Uhhuh 
D Well  we got F uh  pretty good size band  ,no  
 Uhhuh  ,C But  its still be quite a  bit cheaper to do it yourself 
D well  just to let you know  I have F uh  two F uh  children of my own  ,I do respect the fact though that he refuses to smoke in the same room with me  
C And  I had a great time doing that  ,Right 
Yeah ,Uhhuh 
the   ,Yeah 
the other two cats I have are outdoor cats , I  F uh  I bought some F uh  plants from Michigan Bulb Company  
Uhhuh  , we   F uh  F uh  I   havent missed a one since Ive been eligible to vote 
Uhhuh ,F Oh  laughter really 
its ,There is no need to have children if you dont want them 
D Well  F um  Ive done F oh  I would say quite a bit of camping mostly with my husband and I  ,Breathing F Oh  Im actually right on the Plano line 
Breathing Yeah  ,F Uh  lets see  
F Oh  Lord E I mean  yeah  ,Right  
Sure ,Yeah  
thats  ,  C But   C but    C but   when  
uhhuh , C And    C but   she doesnt china paint  
Yeah ,  that  thats   thats  crime that you cant fight it if you need that money  
Ive just lost a train of thought that I had   ,It beats memberships at some of these clubs  
I just love them ,C And  the United  States doesnt go in there  
theres one very close to where my parents are  ,F Um  C but   I  Ive   
C or  it should be  out on T V I would think  , I  we  have five children  
yeah  ,C But  otherwise D now   Im  I  guess were both pretty practical laughter 
C And    we  we   ha  we  have   still have   to spray some  ,you set your brake  
D you know  theyll  jus   come up and say  ,They are  
th  , The 
E I mean  I know thats what my fatherinlaw was talking about D you know  when you give these people money  ,Laughter Yeah 
F Uh   I  I  like all kinds laughter  ,C and  F oh  it just  grew and grew and grew 
 that  they dont even know what they mean ,Right  
Thats right ,Its D like  up to you in other words whatever happens in your life 
Okay  ,D Well  for the past week or two its been  cold and wet  
Yeah  ,Very faint   Uhhuh  
I mostly look for the storms out in the ocean,I dont see how one or two people maybe more one or two but D you know  a number of people  can  can  be the downfall of  com  a company  situation 
C but  yeah  ,F Um  C and   that was  this was   twenty years ago laughter 
Gasp,how you doing Kevin 
F Uh  yeah  ,C but  
Either that or I dont know if it happened and it wasnt as highly publicized as it is now or  what the  what the   ,C and   F uh  lipsmack breathing I dont know  
Sniffing,D Well  I think too  
 C and  they ski  ,Im already on my job  
C and  also D like   my mom  my mom   thinks  ,How old is she 
It used to be  that we were th  that we were   trying to protect morality  ,Uhhuh  
I dont know if your on city water  ,C and  I asked him about it  
 Kids are  kids are   learning F uh  D you know   ,C but  theyre so  wonderful 
its country  ,C and  it seemed to be
 C And   C and   F uh  it really helps those people I think ,Uhhuh 
 D Well  they  must play every day then ,We just used to have balls 
Uhhuh ,Yeah  
Ive always sort of liked General Motors, C so  I  kind of grabbed on to that team
I took some guys to to lunch  ,Uhhuh 
Laughter   slash error,C so  those are always fun  
 Uhhuh  , then  you would  you would  feel more free  to  F uh  to  go into detail with them  
C and   F uh  I have traveled up  in the northeast and around and  have enjoyed it ,one is  its restricted in the sense that juries only decide the charges that are  actually F uh  brought D you know   
C and  we took the car up to  F um  a little place called Pep Boys  ,These people D you know  they bring  their  their  Johns home  
C and then  wed go F oh  this is really good , Thats  thats  one of the ways they get away with it 
F Um  C but   he  I think  he  he    only spent D you know  the low twentys  ,D Well  I was 
C and  it seems like the more money you make the more money you have the more things that they seem to need  , I havent been up there in years 
I think that F uh  so many other things have taken over F uh  in the media   ,I like it better than just about anything  
   F Huh     ,I clicking think its F uh  really neat to see and all that educated minority F uh   person  
C and  D you know  the prosecutors job is to make sure you dont move up a level  ,Yeah 
When you go to a restaurant and D like  kids are running all over the place  They ,Away from a road you know and you keep an eye on her its probably okay  
I shall look into it , It  
E I mean  you cant blame them  ,Thats one of the places I would most like to go  
C then  they put them back in jail  ,Yeah  
D So  you dont have any problem in F um  overcharging on your credit card and stuff like that ,some of my favorites D like  a Friday night when it rains  
Laughter I dont believe   that were   ,D well  you  see it  saw it  out there then too 
C and  its about a foot and a half deep  ,Wow  
C So  ,F Uh  I vaguely recall  
uhhuh ,Yeah  
 Plain  ,laughter  Yeah  
C But  when I moved to the new town I live in  ,but were planning for it 
C and  we have one to get married yet laughter  ,D Well  F uh  I guess  
Its just a shame thats the way it has to be  , country western jazz laughter 
Yeah  ,The educators need to be a little bit more open minded as well as innovative in dealing with F uh  the various students to get the maximum potential out of the person 
C and  now we feel like theyre kind of a collectors item ,No  
I agree with that  , you have to register every couple  of years   And    F uh  
Yeah ,D so  
D you know   We  ,Uhhuh 
 No  ,Generations from now we might F uh  set back in our little F uh  rocking chairs and watch our grandchildren go through an entirely different system of things and say D you know  this government itself isnt working  
C and  shes eaten the bushes  ,C and  we didnt really know that much about each others projects for two years  
F Uh  D well  for a dinner party I think one of my favorite things is baked chicken and white wine , Uhhuh  
They kind of covered everything ,I dont know  
so Im in the process of telling my wife we got to go shopping for clothes again ,Yeah 
Oh ,You werent home 
know  D like  a high number wood ,Yeah  
F Uh  F uh  C and   its  F uh  I suppose  its  its   changes  as  F uh  as   percep  my perception  changes  of  of  what F uh  Im getting gypped on  ,Right 
and F uh  in San Salvador in El Salvador , gone the full circle 
C Because  then you never get to know them either ,Did you hit one 
Yeah  ,That much of a difference 
Laughter, more at least until the children are up to D you know  school age 
no ,C So   is  F uh  is  he working there then  
C but  it wouldnt take up a lot of money ,D Well   how did  how did  you get F uh  hooked up with the T I switchboard thing 
I imagine if I go and sharpen them myself F uh  they wont last throatclearing  ,Sure cough 
only  ,C But   F uh   somebody  somebody  was telling me  the other day that they heard some senator say that what were paying its not that we mind paying taxes its that were paying too much for a lousy government 
